# q	i	err
4.707599999999999979e-02 1.889920239999999920e-03 2.100549328428571397e-03
4.725599999999999939e-02 1.609110059999998860e-03 2.379777029571429094e-03
4.743599999999999900e-02 1.669452365714284682e-03 2.112309047714285796e-03
4.761499999999999760e-02 1.589573978571429342e-03 1.976929066142856916e-03
4.779499999999999721e-02 1.474470390000000904e-03 2.053619785714285752e-03
4.797499999999999681e-02 1.435200282857141980e-03 2.033709190571428727e-03
4.815500000000000336e-02 2.066271418571427685e-03 2.117187952285714235e-03
4.833400000000000196e-02 1.781716998571428916e-03 2.083919933285713951e-03
4.851400000000000157e-02 1.623656881428571421e-03 2.025486527857142931e-03
4.869400000000000117e-02 1.954772220000000008e-03 1.915554130285714160e-03
4.887400000000000078e-02 2.061615934285714481e-03 2.101722956714285797e-03
4.905299999999999938e-02 1.544314027142856078e-03 2.040054718857142995e-03
4.923299999999999899e-02 1.478452785714284108e-03 2.143542800428571531e-03
4.941299999999999859e-02 2.075132311428571231e-03 2.179712333571428608e-03
4.959299999999999820e-02 2.485116091428570765e-03 2.239234612999999822e-03
4.977299999999999780e-02 1.954564488571428321e-03 2.276637083142857374e-03
4.995200000000000334e-02 1.816391664285713992e-03 2.206544485571428505e-03
5.013200000000000295e-02 1.587861115714284815e-03 2.392665420428571714e-03
5.031200000000000255e-02 1.436653194285714228e-03 2.197989500571428511e-03
5.049200000000000216e-02 1.089030897142858863e-03 2.228913354142857302e-03
5.067100000000000076e-02 1.438561172857142755e-03 2.382081273571428400e-03
5.085100000000000037e-02 2.086744087142856485e-03 2.316651160571428416e-03
5.103099999999999997e-02 2.569649791428571355e-03 2.206288351285714319e-03
5.121099999999999958e-02 2.535381504285713627e-03 3.015817344428571665e-03
5.138999999999999818e-02 1.504842412857142079e-03 1.833927695714285613e-03
5.156999999999999779e-02 1.293872488571428921e-03 1.851192112999999750e-03
5.174999999999999739e-02 1.231169541428570871e-03 2.539066136428571544e-03
5.192999999999999700e-02 1.173896879999999313e-03 2.275522103285714491e-03
5.210900000000000254e-02 1.088074877142856901e-03 1.873476380142857301e-03
