# q	i	err
6.199600000000000249e-02 3.858203849999999793e-03 9.424110315714285093e-04
6.217600000000000210e-02 4.152578878571427934e-03 9.429978908571428264e-04
6.235600000000000170e-02 4.052097621428571092e-03 8.890401065714285608e-04
6.253499999999999337e-02 3.740235090000001116e-03 8.606565595714285892e-04
6.271500000000000685e-02 3.926094361428570864e-03 8.352003614285714514e-04
6.289500000000000646e-02 3.989237902857143726e-03 8.626771627142857920e-04
6.307500000000000606e-02 3.861855154285714822e-03 8.654708155714285539e-04
6.325400000000000467e-02 3.767262611428570055e-03 8.330554972857143149e-04
6.343400000000000427e-02 3.813981901428571686e-03 8.339042941428572104e-04
6.361400000000000388e-02 3.846363080000000326e-03 8.913313080000000513e-04
6.379400000000000348e-02 3.886129352857141395e-03 8.763330224285714514e-04
6.397300000000000209e-02 3.879188337142857029e-03 8.389878380000001436e-04
6.415300000000000169e-02 3.855696421428571764e-03 9.146203871428571549e-04
6.433300000000000129e-02 3.834841972857144093e-03 1.005306322142857176e-03
6.451300000000000090e-02 3.797441408571429651e-03 8.479241280000000391e-04
6.469300000000000050e-02 3.764384614285715570e-03 8.617739869999999905e-04
6.487199999999999911e-02 3.921357145714283836e-03 9.868192427142858433e-04
6.505199999999999871e-02 3.807444471428572501e-03 8.178177718571427420e-04
6.523199999999999832e-02 3.843302662857143569e-03 9.864823092857143410e-04
6.541199999999999792e-02 3.775115247142856855e-03 8.712966900000000897e-04
6.559099999999999653e-02 3.702382707142856146e-03 8.272382445714285357e-04
6.577099999999999613e-02 3.473402610000000165e-03 8.213186411428572559e-04
6.595099999999999574e-02 3.691821121428573004e-03 7.903507491428570083e-04
6.613099999999999534e-02 4.010234302857142684e-03 8.029957809999999476e-04
6.630999999999999395e-02 3.704016209999998806e-03 8.028995480000000176e-04
6.648999999999999355e-02 3.655636910000000135e-03 8.551163244285713049e-04
6.666999999999999316e-02 3.439366622857141422e-03 7.823121794285713528e-04
6.685000000000000664e-02 3.504597997142856920e-03 7.956361579999999753e-04
6.702900000000000524e-02 3.623483251428571798e-03 7.997675747142856577e-04
6.720900000000000485e-02 3.718626010000000443e-03 8.017342754285714619e-04
6.738900000000000445e-02 3.681621305714285856e-03 8.140145015714285448e-04
6.756900000000000406e-02 3.663315502857144267e-03 8.418537194285714495e-04
6.774800000000000266e-02 3.476854904285715895e-03 7.919257664285715053e-04
6.792800000000000227e-02 3.583960117142856363e-03 8.354889608571428820e-04
6.810800000000000187e-02 3.483738908571426974e-03 8.132631852857143389e-04
6.828800000000000148e-02 3.466287075714284856e-03 8.106110281428572208e-04
6.846700000000000008e-02 3.524403818571427392e-03 8.218443775714285096e-04
6.864699999999999969e-02 3.495601122857142952e-03 7.904445494285714966e-04
6.882699999999999929e-02 3.373526295714285913e-03 8.750440850000000461e-04
6.900699999999999890e-02 3.508223687142856487e-03 7.704855054285715066e-04
6.918599999999999750e-02 3.353354755714286085e-03 8.605131068571429589e-04
6.936599999999999711e-02 3.496406711428569781e-03 8.170026350000001141e-04
6.954599999999999671e-02 3.657781897142857539e-03 7.743686768571428130e-04
6.972599999999999631e-02 3.759688968571429403e-03 8.227567071428570824e-04
6.990599999999999592e-02 3.478539080000000224e-03 8.155101660000000719e-04
7.008499999999999452e-02 3.587782555714286083e-03 8.170118322857142798e-04
7.026499999999999413e-02 3.482989878571426251e-03 8.818057737142856109e-04
7.044499999999999373e-02 3.430543949999998680e-03 8.805347188571428481e-04
7.062499999999999334e-02 3.369195878571428025e-03 7.584475272857143157e-04
7.080400000000000582e-02 3.385990134285714239e-03 7.650701378571428748e-04
7.098400000000000543e-02 3.653956018571427686e-03 7.479110895714285914e-04
7.116400000000000503e-02 3.566367072857141302e-03 7.571034781428571947e-04
7.134400000000000464e-02 3.430839407142855218e-03 9.209105208571428339e-04
7.152300000000000324e-02 3.282716278571429138e-03 7.395746172857143013e-04
7.170300000000000284e-02 3.491758177142857862e-03 8.730579198571429295e-04
7.188300000000000245e-02 3.423063075714286464e-03 8.377371675714285950e-04
7.206300000000000205e-02 3.384315692857142906e-03 7.592091191428572026e-04
