# q	i	err
5.768199999999999716e-02 1.591343494285713759e-03 8.278474977142857372e-04
5.786199999999999677e-02 1.634217252857143301e-03 7.259279109999999553e-04
5.804100000000000231e-02 1.661405731428571269e-03 7.514732181428570830e-04
5.822100000000000192e-02 1.610644549999999372e-03 6.963814071428571202e-04
5.840100000000000152e-02 1.491213162857142616e-03 6.898386402857142235e-04
5.858100000000000113e-02 1.495750041428569894e-03 7.038160447142856714e-04
5.875999999999999973e-02 1.558236492857141987e-03 7.186907379999999974e-04
5.893999999999999934e-02 1.254323274285715131e-03 7.831570935714285290e-04
5.911999999999999894e-02 1.191822139999999374e-03 7.234159139999999646e-04
5.929999999999999855e-02 1.356569471428573006e-03 7.087520308571428973e-04
5.947999999999999815e-02 1.480452870000000584e-03 7.243607541428570594e-04
5.965899999999999676e-02 1.547937984285712278e-03 7.546001277142857806e-04
5.983900000000000330e-02 1.648579428571428623e-03 6.737858187142858066e-04
6.001900000000000290e-02 1.711897645714283893e-03 7.765402564285714534e-04
6.019900000000000251e-02 1.594291648571427317e-03 7.370969062857143537e-04
6.037800000000000111e-02 1.517902175714286881e-03 8.012329440000000519e-04
6.055800000000000072e-02 1.661148468571429148e-03 6.774330385714285663e-04
6.073800000000000032e-02 1.462625025714283950e-03 7.483754671428571826e-04
6.091799999999999993e-02 1.288749987142855796e-03 7.357486977142858051e-04
6.109699999999999853e-02 1.469065285714285865e-03 7.166086827142856925e-04
6.127699999999999814e-02 1.681317238571428119e-03 7.978970029999999823e-04
6.145699999999999774e-02 1.554561662857143617e-03 7.266605088571429037e-04
6.163699999999999735e-02 1.437971260000001040e-03 7.682967372857143779e-04
6.181600000000000289e-02 1.592527695714286576e-03 7.284912198571429640e-04
6.199600000000000249e-02 1.499291334285712428e-03 7.201557932857143452e-04
6.217600000000000210e-02 1.585502699999997555e-03 6.935468129999998585e-04
6.235600000000000170e-02 1.619705805714284283e-03 6.631827158571428852e-04
6.253499999999999337e-02 1.223544512857143492e-03 6.701402002857141790e-04
6.271500000000000685e-02 9.283239828571411556e-04 6.942782018571427589e-04
6.289500000000000646e-02 1.276774744285716443e-03 7.785933419999999930e-04
6.307500000000000606e-02 1.295910588571429168e-03 7.816451418571427603e-04
6.325400000000000467e-02 1.402159932857141187e-03 6.484415130000000449e-04
6.343400000000000427e-02 1.331948838571427474e-03 6.727950872857142587e-04
6.361400000000000388e-02 1.321668975714285427e-03 7.200527132857143442e-04
6.379400000000000348e-02 1.272149561428572448e-03 7.191134432857141908e-04
6.397300000000000209e-02 1.494506191428570524e-03 6.959737851428571005e-04
6.415300000000000169e-02 1.275389361428570919e-03 6.842662932857141800e-04
6.433300000000000129e-02 1.184622294285712311e-03 7.761600592857142728e-04
6.451300000000000090e-02 1.366399427142855937e-03 6.795432409999999134e-04
6.469300000000000050e-02 1.362008220000000261e-03 7.074880155714286271e-04
6.487199999999999911e-02 1.376464252857144714e-03 6.370024692857141407e-04
6.505199999999999871e-02 1.272714304285712389e-03 6.724841327142856272e-04
6.523199999999999832e-02 1.330716312857142553e-03 7.791405088571429433e-04
6.541199999999999792e-02 1.451499664285714085e-03 7.770314468571427272e-04
6.559099999999999653e-02 1.370914925714284945e-03 8.286515698571429375e-04
6.577099999999999613e-02 1.290639722857141441e-03 6.348296568571429538e-04
6.595099999999999574e-02 1.083985341428571596e-03 6.556679062857143038e-04
6.613099999999999534e-02 9.451625514285714666e-04 6.607091212857142118e-04
6.630999999999999395e-02 1.106501140000000277e-03 6.721260961428571256e-04
6.648999999999999355e-02 1.240503147142856281e-03 6.659583571428570863e-04
6.666999999999999316e-02 1.311889657142857818e-03 7.183830795714287202e-04
6.685000000000000664e-02 1.188107869999999438e-03 7.232540911428572564e-04
6.702900000000000524e-02 1.219177261428569439e-03 6.687920382857144184e-04
6.720900000000000485e-02 1.310730977142856397e-03 6.756552851428571831e-04
6.738900000000000445e-02 1.197738065714286934e-03 6.848029228571428980e-04
6.756900000000000406e-02 1.048657747142857062e-03 6.206158950000000354e-04
6.774800000000000266e-02 1.088100152857142140e-03 7.039589915714285608e-04
6.792800000000000227e-02 1.180217098571427828e-03 6.061807622857142601e-04
6.810800000000000187e-02 1.287753084285715114e-03 6.753669132857144678e-04
6.828800000000000148e-02 1.132059518571429434e-03 6.066252054285713570e-04
6.846700000000000008e-02 1.060066462857143154e-03 6.531717402857142645e-04
6.864699999999999969e-02 1.022364612857141119e-03 6.661471935714287059e-04
6.882699999999999929e-02 1.035567058571429432e-03 6.733963080000000042e-04
6.900699999999999890e-02 1.030802339999998141e-03 6.493459458571428913e-04
6.918599999999999750e-02 1.098842847142856563e-03 6.021686181428571438e-04
6.936599999999999711e-02 1.000630171428570740e-03 6.116190288571430071e-04
6.954599999999999671e-02 9.910082571428556562e-04 6.267987267142856702e-04
6.972599999999999631e-02 1.141217729999999394e-03 6.327592562857142127e-04
6.990599999999999592e-02 1.227216141428572136e-03 6.384470792857142732e-04
7.008499999999999452e-02 1.156673661428571625e-03 6.512393218571428969e-04
7.026499999999999413e-02 9.288541128571430180e-04 6.255305075714286903e-04
7.044499999999999373e-02 8.387590514285695300e-04 6.566457821428571800e-04
7.062499999999999334e-02 1.036863261428570913e-03 6.977771365714286562e-04
7.080400000000000582e-02 8.950994285714280237e-04 6.141660792857143612e-04
7.098400000000000543e-02 8.953313571428568162e-04 5.905591172857142844e-04
7.116400000000000503e-02 1.019343744285714035e-03 6.977262568571429438e-04
7.134400000000000464e-02 8.703163471428567713e-04 6.466118819999998974e-04
7.152300000000000324e-02 9.495919700000008496e-04 6.351411507142855437e-04
7.170300000000000284e-02 1.072427239999998753e-03 6.407803641428570091e-04
7.188300000000000245e-02 9.651204485714283497e-04 7.652852725714285242e-04
7.206300000000000205e-02 1.033624262857143301e-03 7.036463014285712766e-04
